IP地址,端口,TLS,数据中心,地区,城市,网络延迟,测速 MB/s
45.8.145.241,2053,TRUE,AMS,Europe,Amsterdam,168 ms,14.74
104.245.12.55,443,TRUE,SJC,North America,San Jose,162 ms,14.08
38.180.160.235,2053,TRUE,AMS,Europe,Amsterdam,142 ms,13.34
95.179.239.213,8443,TRUE,LHR,Europe,London,176 ms,12.84
37.221.126.43,443,TRUE,ARN,Europe,Stockholm,228 ms,12.73
192.248.150.129,2053,TRUE,LHR,Europe,London,162 ms,12.69
37.123.192.172,443,TRUE,SJC,North America,San Jose,168 ms,12.67
185.214.103.3,8443,TRUE,ICN,Asia Pacific,Seoul,52 ms,12.58
78.141.242.182,2053,TRUE,LHR,Europe,London,170 ms,12.39
37.1.219.61,443,TRUE,AMS,Europe,Amsterdam,133 ms,12.21
38.143.0.91,443,TRUE,LAX,North America,Los Angeles,163 ms,12.15
43.245.198.31,34237,TRUE,SIN,Asia Pacific,Singapore,95 ms,11.88
45.136.50.241,8443,TRUE,AMS,Europe,Amsterdam,137 ms,11.81
45.87.154.25,2053,TRUE,AMS,Europe,Amsterdam,344 ms,11.81
45.8.145.241,8443,TRUE,AMS,Europe,Amsterdam,189 ms,11.72
195.54.174.74,443,TRUE,AMS,Europe,Amsterdam,150 ms,11.64
5.45.70.75,8443,TRUE,AMS,Europe,Amsterdam,138 ms,11.62
172.234.96.64,2053,TRUE,ARN,Europe,Stockholm,196 ms,11.56
139.162.171.241,8443,TRUE,FRA,Europe,Frankfurt,189 ms,11.54
37.1.203.192,443,TRUE,HAM,Europe,Hamburg,151 ms,11.53
147.182.207.243,2053,TRUE,SJC,North America,San Jose,158 ms,11.49
45.76.129.165,8443,TRUE,LHR,Europe,London,171 ms,11.39
164.92.157.131,8443,TRUE,AMS,Europe,Amsterdam,223 ms,11.35
179.43.180.231,443,TRUE,FRA,Europe,Frankfurt,170 ms,11.33
45.63.99.113,8443,TRUE,LHR,Europe,London,167 ms,11.24
5.45.95.134,2053,TRUE,AMS,Europe,Amsterdam,128 ms,11.23
86.38.156.83,2053,TRUE,FRA,Europe,Frankfurt,232 ms,11.22
38.180.160.235,8443,TRUE,AMS,Europe,Amsterdam,146 ms,11.09
91.92.16.51,443,TRUE,AMS,Europe,Amsterdam,147 ms,11.08
24.199.115.220,443,TRUE,SJC,North America,San Jose,158 ms,11.06
38.105.26.216,34237,TRUE,LAX,North America,Los Angeles,182 ms,11.02
